# Generated using ESO SkyCalc, assuming airmass = 1 and target 90 degrees above horizon, all other values default
# Photometric zero points are listed here: https://www.eso.org/observing/etc/doc/skycalc/helpskycalc.html#mags
# 
lambda_nm	flux
658.5	1087.93
659	1069.09
659.5	1081.12
660	1209.26
660.5	1377.03
661	1091.38
661.5	1091.36
662	1093.73
662.5	1087.5
663	1154.17
663.5	1210.39
664	1086.48
664.5	1087.44
665	1088.39
665.5	1094.05
666	1081.67
666.5	1135.81
667	1124.63
667.5	1072.4
668	1073.15
668.5	1073.88
669	1074.74
669.5	1071.83
670	1098.77
670.5	1094.4
671	1063.07
671.5	1067.01
672	1062.12
672.5	1073.09
673	1061.93
673.5	1053.73
674	1083.76
674.5	1083.42
675	1052.64
675.5	1045.79
676	1045.19
676.5	1044.59
677	1046.43
677.5	1042.78
678	1041.14
678.5	1057.9
679	1064.33
679.5	1036.37
680	1035.2
680.5	1040.86
681	1032.88
681.5	1031.02
682	1039.14
682.5	1026.88
683	2341.73
683.5	2069.61
684	1105.11
684.5	1257.53
685	1028.4
685.5	1040.02
686	1011.58
686.5	3076.79
687	766.716
687.5	881.128
688	877.615
688.5	1218.23
689	1247.7
689.5	958.74
690	872.344
690.5	1072.14
691	942.736
691.5	1497.08
692	958.937
692.5	2026.17
693	997.891
693.5	970.607
694	1457.86
694.5	1000.17
695	2237.04
695.5	1035.43
696	1017.95
696.5	1005.37
697	1372
697.5	994.924
698	1733.14
698.5	998.484
699	997.19
699.5	984.248
700	1019.53
700.5	1184.71
701	956.866
701.5	1299.28
702	946.762
702.5	951.607
703	963.899
703.5	965.306
704	954.53
704.5	1117.66
705	1280.13
705.5	1071.35
706	1000.13
706.5	1043.59
707	1070.95
707.5	1059.98
708	1011.85
708.5	1081.84
709	1140.52
709.5	995.148
710	978.78
710.5	984.065
711	981.71
711.5	978.43
712	974.957
712.5	971.639
713	1057.95
713.5	1057.32
714	958.49
714.5	1111.27
715	1059.51
715.5	972.218
716	1006.19
716.5	1028.24
717	995.44
717.5	936.082
718	976.567
718.5	951.93
719	881.021
719.5	853.99
720	902.303
720.5	891.564
721	913.587
721.5	939.35
722	931.085
722.5	999.08
723	1003.4
723.5	967.52
724	3434.91
724.5	4104.25
725	1409.22
725.5	1518.83
726	1115.97
726.5	960.66
727	1108.11
727.5	1511.51
728	4786.33
728.5	2765.06
729	1069.03
729.5	1013.35
730	1437.3
730.5	1883.43
731	1009.7
731.5	1091.49
